No,samplingRate,deviceModel,accelerometerTimestamp,accelerometerTimeSinceBoot,rawAccelerationX,rawAccelerationY,rawAccelerationZ
66,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.7647286251,-0.0020904541015625,-0.01165771484375,-0.9778289794921875
67,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.7747906251,0.00738525390625,-0.0214080810546875,-1.012237548828125
68,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.7747906251,0.00738525390625,-0.0214080810546875,-1.012237548828125
69,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.784852625,0.0121612548828125,-0.0246124267578125,-1.0278167724609375
70,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.784852625,0.0121612548828125,-0.0246124267578125,-1.0278167724609375
71,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.794914625,0.011444091796875,-0.0241851806640625,-1.0248260498046875
72,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.804976625,0.0115509033203125,-0.0209197998046875,-1.024627685546875
73,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.804976625,0.0115509033203125,-0.0209197998046875,-1.024627685546875
74,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.815039625,0.0099029541015625,-0.0143280029296875,-1.0098114013671875
75,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.825101625,0.00567626953125,-0.0048065185546875,-0.98193359375
76,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.825101625,0.00567626953125,-0.0048065185546875,-0.98193359375
77,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8351636251,0.0050811767578125,0.0044708251953125,-0.9614105224609375
78,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8351636251,0.0050811767578125,0.0044708251953125,-0.9614105224609375
79,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8452256251,0.0071563720703125,0.00762939453125,-0.966796875
80,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8452256251,0.0071563720703125,0.00762939453125,-0.966796875
81,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.855287625,0.0103302001953125,0.0079498291015625,-0.9962615966796875
82,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.865349625,0.0106658935546875,0.006927490234375,-1.0180206298828125
83,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.865349625,0.0106658935546875,0.006927490234375,-1.0180206298828125
84,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.875412625,0.0045318603515625,0.006927490234375,-1.0304718017578125
85,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.875412625,0.0045318603515625,0.006927490234375,-1.0304718017578125
86,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.885474625,-0.0046234130859375,0.0050506591796875,-1.025604248046875
87,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8955366251,-0.0149383544921875,0.0029296875,-1.0094146728515625
88,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.8955366251,-0.0149383544921875,0.0029296875,-1.0094146728515625
89,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.9055986251,-0.0225982666015625,0.000640869140625,-0.9829864501953125
90,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9156606251,-0.0201263427734375,-0.004150390625,-0.9615936279296875
91,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9156606251,-0.0201263427734375,-0.004150390625,-0.9615936279296875
92,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.925723625,-0.00885009765625,-0.0099029541015625,-0.966339111328125
93,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.925723625,-0.00885009765625,-0.0099029541015625,-0.966339111328125
94,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.935785625,0.008636474609375,-0.01605224609375,-0.9886474609375
95,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.945847625,0.025634765625,-0.0194244384765625,-1.016021728515625
96,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.945847625,0.025634765625,-0.0194244384765625,-1.016021728515625
