QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 0.7500000000	 0.0010013580	 0.0014102459	 0.0015580654	
 0.7550000000	 4.58956E-004	 0.0016736984	 0.0011253357	
 0.7600000000	 5.10216E-004	 0.0016474724	 0.0010025501	
 0.7650000000	 4.99487E-004	 0.0016617775	 0.0019025803	
 0.7700000000	 9.97782E-004	 0.0013184547	 0.0014960766	
 0.7750000000	 8.27312E-004	 0.0019681454	 0.0013303757	
 0.7800000000	 8.04663E-004	 0.0020897388	 0.0013768673	
 0.7850000000	 9.84669E-004	 0.0015151501	 0.0012922287	
 0.7900000000	 0.0010144711	 0.0014019012	 0.0016331673	
 0.7950000000	 8.36849E-004	 0.0015902519	 0.0015306473	
 0.8000000000	 5.36442E-004	 0.0020241737	 8.44002E-004	
 0.8050000000	 6.98566E-004	 0.0016808510	 0.0013196468	
 0.8100000000	 0.0010287762	 0.0013446808	 0.0015664101	
 0.8150000000	 0.0011253357	 0.0016212463	 0.0015008450	
 0.8200000000	 6.90222E-004	 0.0018346310	 0.0013184547	
 0.8250000000	 6.93798E-004	 0.0019073486	 0.0011277199	
 0.8300000000	 9.35793E-004	 0.0016832352	 0.0014019012	
 0.8350000000	 0.0010371208	 0.0012731552	 0.0018644333	
 0.8400000000	 7.62939E-004	 0.0015366077	 0.0012230873	
 0.8450000000	 2.36034E-004	 0.0019419193	 8.83341E-004	
 0.8500000000	 9.48906E-004	 0.0016558170	 0.0013029575	
 0.8550000000	 0.0010716915	 0.0014114380	 0.0015270710	
 0.8600000000	 8.78572E-004	 0.0014305115	 0.0013518333	
 0.8650000000	 5.92470E-004	 0.0018846989	 0.0012838840	
 0.8700000000	 6.16312E-004	 0.0021541119	 0.0013673306	
 0.8750000000	 0.0010490417	 0.0011646748	 0.0013291836	
 0.8800000000	 0.0010895729	 0.0016438961	 0.0020062923	
 0.8850000000	 0.0010323524	 0.0015830994	 0.0011801720	
 0.8900000000	 5.65052E-004	 0.0020039082	 0.0011336803	
